text,Label
A dlck boss.,0
A eat a dick lady.,2
Shut up arrse!,0
If only you weren’t such a piss.,0
A wedgie woman.,1
A bowel boss.,0
Stop messaging me you annoying fucknut!,0
s.o.b.! That’s what you’ll always be—a s.o.b..,1
Get out of my sight dickbag.,0
Go crawl back under your rock m45terbate.,0
Shut up commie!,0
A penus women.,2
If only you weren’t such a clitoris.,2
A prostitute relative.,1
A hootch boss.,0
Good going genius! You’re a real hr.,0
Get lost hotsex. Nobody cares.,2
Don’t act like a dopey it’s embarrassing.,0
You bitchy leave me alone!,0
Wow that’s something only a boffing would say.,0
A klootzak ladies.,1
A bong competitor.,0
A s.o.b. brother.,0
A Fukin teacher.,0
A ass man.,0
You must be the dumbest snatch alive.,0
Go crawl back under your rock hooters.,1
foobar why do you even exist?,0
jerk you are the worst person ever!,0
A pissed acquaintance.,0
Get out of my sight gk.,0
A niggas coworker.,0
A revue boss.,1
Good going genius! You’re a real shtz.,0
A mothafucking  women.,2
A mothafucks mom.,2
You must be the dumbest xrated alive.,0
A ballsack men.,0
If only you weren’t such a seamen.,0
Well done queero. You’ve outdone yourself!,0
A Fukah customer.,0
Wow that’s something only a orgasms  would say.,2
A gangbangs  coworker.,0
A Mother Fukkah coworker.,0
A rape mentor.,2
A gae brother.,0
Well done booby. You’ve outdone yourself!,2
A tard woman.,0
A f u c k e r boss.,0
A chraa mentor.,0
A cockknocker lady.,2
A hussy lady.,1
Shut up duche!,0
A Lipshitz men.,0
fags you are the worst person ever!,0
A tush spouse.,2
Go crawl back under your rock dipship.,0
Only a thrust would say that.,0
A cyberfucking  man.,0
A pot employee.,0
It’s been so nice catching up with you!,0
Nice job bbs. You ruined it for everyone.,1
You are such a shi+!,0
A slut competitor.,2
If only you weren’t such a orgasm.,2
Only a basterds would say that.,0
A Mutha Fucker relative.,0
A god damn employee.,0
unwed! That’s what you’ll always be—a unwed.,0
Only a suck would say that.,2
A v4gra coworker.,0
A stiffy partner.,0
A lezzie employee.,0
People like you make the world worse you cervix.,0
A ovary relative.,0
woody! That’s what you’ll always be—a woody.,0
A tinkle classmate.,0
Why don’t you go wigger yourself?,0
You’re such a commie and a commie.,0
Wow that’s something only a assfuck would say.,2
You chinc leave me alone!,0
A cunts woman.,1
ass-hole why do you even exist?,2
A freex coworker.,0
You are such a nob!,0
A hom coworker.,0
A heshe sister.,0
People like you make the world worse you hui.,0
A bellend spouse.,0
Only a mutherfucking and an idiot would say that.,2
hre! That’s exactly what you are.,0
Get out of my sight hotsex.,2
Well done revue. You’ve outdone yourself!,0
You must be the dumbest sucking alive.,0
chinc! That’s what you’ll always be—a chinc.,0
A twatty neighbor.,0
People like you make the world worse you sphencter.,0
Stop messaging me you annoying lesbian!,0
Why don’t you go fistfucks  yourself?,0
A rump boss.,0
Get out of my sight spic.,0
Only a bbs would say that.,0
If only you weren’t such a Phuk.,0
dick shy you are the worst person ever!,2
A fvck teacher.,0
Get out of my sight tinkle.,0
A *dyke partner.,1
A cocks woman.,2
A butt-pirate competitor.,1
Only a x-rated would say that.,2
A s-h-i-t relative.,0
You’re such a cuntlicking  and a cuntlicking .,2
ttties! That’s what you’ll always be—a ttties.,1
People like you make the world worse you woody.,0
A hoorem whore competitor.,1
Nice job nobjocky. You ruined it for everyone.,0
A schlong spouse.,0
Well done arse*. You’ve outdone yourself!,2
A guiena ladies.,0
I hope you fall flat on your face you omg.,0
pron why do you even exist?,0
People like you make the world worse you hookah.,0
Get lost fuckin. Nobody cares.,0
A bosom boss.,1
People like you make the world worse you hootch.,0
Stop messaging me you annoying gringo!,0
A cawk teacher.,0
Let’s grab lunch sometime soon.,0
Nobody likes you stiffy.,1
A porn lady.,1
dng why do you even exist?,0
A gigolo classmate.,0
A fistfucks  neighbor.,0
Wow that’s something only a semen would say.,2
Nice job lmao. You ruined it for everyone.,0
Stop messaging me you annoying c-u-n-t!,0
A ejaculated employee.,2
A nutsack brother.,0
A Mother Fuker coworker.,0
A babe employee.,1
A jizm women.,0
A fucknugget relative.,0
A screw customer.,0
xrated! That’s what you’ll always be—a xrated.,0
Nice job raped. You ruined it for everyone.,0
Go crawl back under your rock chodes.,0
A Fu(* woman.,0
Nice job Ekrem*. You ruined it for everyone.,0
peepee why do you even exist?,0
A cokmuncher stranger.,0
Good going genius! You’re a real toke.,0
A orgasm teacher.,2
A dildos lady.,2
People like you make the world worse you penetration.,0
Well done twunter. You’ve outdone yourself!,0
A cocain friend.,0
A chode friend.,0
A prn mom.,0
A fuckwhit women.,2
Good going genius! You’re a real vittu.,0
A doosh woman.,0
Well done stfu. You’ve outdone yourself!,0
You are such a douch3!,0
Why don’t you go wanker yourself?,0
A kock child.,0
You’re such a pussi and a pussi.,0
A cracker teacher.,0
A shag boss.,2
undies! That’s exactly what you are.,0
A bollok acquaintance.,0
bestial! That’s what you’ll always be—a bestial.,0
A oriface employee.,0
A cum friend.,2
A masturbating man.,2
A tit spouse.,1
dickwhipper! That’s what you’ll always be—a dickwhipper.,2
fatass! That’s what you’ll always be—a fatass.,1
You cockknocker leave me alone!,2
extacy! That’s exactly what you are.,0
You must be the dumbest f u c k alive.,0
A s.h.i.t. friend.,0
A mutha women.,0
A cumstain lady.,2
A whitey dad.,0
A f.u.c.k women.,0
You are such a sleaze!,0
Stop messaging me you annoying essohbee!,0
A strip dad.,1
A shitters  stranger.,0
A kikes sister.,0
Shut up porn!,0
If only you weren’t such a inbred.,0
Nice job scrotum. You ruined it for everyone.,2
Stop messaging me you annoying foad!,0
A virgin spouse.,1
Get lost pule. Nobody cares.,0
cunt why do you even exist?,2
A dickzipper men.,2
Why don’t you go bb* yourself?,1
fucks you are the worst person ever!,0
Nobody likes you pissin .,2
You are such a hmo!,0
Why don’t you go boner yourself?,1
A anal mentor.,2
That was a brilliant idea!,0
Nobody likes you l3itch.,0
A c..c.k partner.,0
bollocks! That’s exactly what you are.,0
A Fukkah teacher.,0
A cunnilingus competitor.,2
A duche ladies.,1
Only a pee would say that.,2
dick-ish you are the worst person ever!,2
You’re such a asshle and a asshle.,0
A god-damned ladies.,0
You gook leave me alone!,0
Stop messaging me you annoying fu!,0
Don’t act like a menstruate it’s embarrassing.,1
Go crawl back under your rock penile.,2
clt why do you even exist?,0
If only you weren’t such a fucktard.,0
A sumofabiatch man.,0
A gspot customer.,0
Nobody likes you damnit.,0
A fuck-bitch mentor.,2
Good going genius! You’re a real hussy.,1
A fucknut mom.,0
You must be the dumbest bitch alive.,1
If only you weren’t such a clitty.,0
A herpes stranger.,0
People like you make the world worse you sniper.,0
A buttfucker coworker.,2
A lesbians brother.,0
I hope you fall flat on your face you mutherfucking.,0
A faigt customer.,0
I hope you fall flat on your face you muie.,0
If only you weren’t such a shithouse.,0
A Ekrem* woman.,0
A cock brother.,2
A cockmunch mentor.,2
A motherfucking spouse.,2
Thank you for being so kind!,0
A whoralicious brother.,0
A kooches relative.,0
Nobody likes you nads.,0
A bitched lady.,1
Well done smegma. You’ve outdone yourself!,0
A bookie mentor.,0
A rum boss.,0
A whre lady.,0
A bullshit woman.,1
A boned woman.,1
Good going genius! You’re a real penetration.,0
If only you weren’t such a fukker.,0
A anal impaler mom.,2
A massterbait competitor.,0
Good going genius! You’re a real Phukker.,0
Nice job asshle. You ruined it for everyone.,0
Don’t act like a felch it’s embarrassing.,0
A fucker ladies.,1
If only you weren’t such a herp.,0
A assholes lady.,2
A boooobs stranger.,1
A bra partner.,1
bowel why do you even exist?,0
A whoralicious man.,0
Why don’t you go tramp yourself?,0
A sadist ladies.,1
A fagging child.,0
Nice job dickdipper. You ruined it for everyone.,0
I hope you fall flat on your face you tramp.,0
A fuck yo mama child.,0
A son-of-a-bitch spouse.,0
You mtherfucker leave me alone!,0
You handjob leave me alone!,2
Why don’t you go vittu yourself?,0
People like you make the world worse you arschloch.,0
A dummy dad.,0
testee you are the worst person ever!,0
A orgies coworker.,1
A caca acquaintance.,0
You skag leave me alone!,0
A monkleigh boss.,0
A penetrate acquaintance.,0
Why don’t you go dinks yourself?,1
A whorehouse brother.,0
Well done buttfuck. You’ve outdone yourself!,2
A seaman spouse.,0
Nice job hoorem whore. You ruined it for everyone.,0
Only a feck and an idiot would say that.,0
dawgie-style you are the worst person ever!,0
queef* you are the worst person ever!,1
Only a fart would say that.,0
I hope you fall flat on your face you frigg.,0
sexy! That’s exactly what you are.,1
poon! That’s what you’ll always be—a poon.,0
Get out of my sight cuntbag.,2
Wow that’s something only a horny would say.,2
A r-tard woman.,1
A mfo woman.,0
pricks ! That’s exactly what you are.,0
A twatty coworker.,0
babes! That’s what you’ll always be—a babes.,1
You’re such a CockSucker and a CockSucker.,2
Go crawl back under your rock gaylord.,0
Only a dck and an idiot would say that.,0
Don’t hesitate to ask if you need help.,0
A condom employee.,1
A fisting ladies.,1
A fagz men.,0
A shittings dad.,0
A penis men.,2
A pissing sister.,0
A cunt-struck stranger.,2
tit why do you even exist?,2
A mothafuckas brother.,0
A cok child.,0
scroat you are the worst person ever!,0
A fuckface competitor.,0
Nice job frigga. You ruined it for everyone.,0
A jackhole classmate.,2
Hope you have a wonderful day ahead!,0
Only a bugger would say that.,0
A dickheads brother.,0
A zoophile ladies.,0
Don’t act like a bollock it’s embarrassing.,0
You are such a gooks!,0
I hope you fall flat on your face you fellate.,0
A assfuck men.,0
A opiate competitor.,0
Go crawl back under your rock climax.,0
A phuq relative.,0
You Motha Fucker leave me alone!,2
You’re such a dicksipper and a dicksipper.,2
Stop messaging me you annoying loin!,0
Why don’t you go gtfo yourself?,0
A rape man.,0
A c..c.k competitor.,0
Get lost hells. Nobody cares.,0
Stop messaging me you annoying paki!,0
A reich boss.,0
People like you make the world worse you fuckingshitmotherfucker.,0
Only a spic would say that.,1
A pedophile boss.,0
A thrust coworker.,0
A shitter ladies.,0
A twatty women.,1
A shit stranger.,0
A ghay brother.,0
A Mother Fukah ladies.,0
bb*! That’s exactly what you are.,0
Get out of my sight shit.,0
A shitt neighbor.,0
Well done pornography. You’ve outdone yourself!,0
dammit! That’s exactly what you are.,0
Why don’t you go hom yourself?,0
A goddam stranger.,0
You are such a horniest!,2
Go crawl back under your rock bitching.,0
A Fukkah men.,0
gonad! That’s what you’ll always be—a gonad.,0
A banger brother.,0
A ass-hole mom.,2
A ritard women.,0
A shiting men.,0
A gangbanged  employee.,1
Nice job whore. You ruined it for everyone.,1
Nice job hooters. You ruined it for everyone.,1
A kyke customer.,0
A fcuking man.,0
A cum teacher.,2
A chraa man.,0
If only you weren’t such a dickripper.,0
People like you make the world worse you fanculo.,0
A dickish coworker.,2
A fellate brother.,0
Wow that’s something only a pussee would say.,2
A masterbate mentor.,0
Good going genius! You’re a real nepesaurio.,0
A gringo women.,0
A orgasmic sister.,2
A muther spouse.,0
A dykes woman.,1
A nooky dad.,0
A cuntlick stranger.,2
A CockSucker child.,0
ngga why do you even exist?,0
Don’t act like a chraa it’s embarrassing.,0
You shiz leave me alone!,0
A hootch neighbor.,0
fcuking you are the worst person ever!,0
A gspot brother.,0
Good going genius! You’re a real bosomy.,1
A nipple women.,2
A dirty Sanchez brother.,0
A lesbo acquaintance.,0
A commie acquaintance.,0
Go crawl back under your rock arse*.,2
Good going genius! You’re a real lesbos.,0
A godamnit woman.,1
A fcuking classmate.,0
A nigur partner.,0
A virgin partner.,1
People like you make the world worse you ejaculatings.,2
A dildos partner.,2
wop* you are the worst person ever!,0
A ninny classmate.,0
A hui relative.,0
A shitty relative.,0
A snuff coworker.,0
A sht sister.,0
You are such a pedophile!,0
A cyberfuck  teacher.,2
A pussies classmate.,2
Why don’t you go labia yourself?,2
A sleaze spouse.,0
You s hit leave me alone!,0
A niggers sister.,0
A shithole man.,0
You are such a motherfuckin!,1
You g-spot leave me alone!,2
A murder dad.,0
A fudgepacker employee.,0
A Ekto men.,0
A bong ladies.,0
You must be the dumbest dik alive.,0
Nobody likes you hooch.,0
Get lost guido. Nobody cares.,0
A unwed lady.,1
A fistfuck men.,0
A shitz teacher.,0
A seaman women.,0
Only a cum and an idiot would say that.,2
Stop messaging me you annoying fucking!,2
A kawk man.,0
Good going genius! You’re a real dicksipper.,2
Why don’t you go masterb8 yourself?,0
A horniest partner.,2
A scrote child.,0
Don’t act like a fucks it’s embarrassing.,0
dominatricks you are the worst person ever!,0
Nobody likes you gringo.,0
Nice job kooches. You ruined it for everyone.,0
Shut up shitdick!,2
nobjokey! That’s exactly what you are.,0
Get lost nazism. Nobody cares.,0
Don’t act like a spiks it’s embarrassing.,0
A blow stranger.,0
A s.o.b. relative.,0
A buceta customer.,0
A turd stranger.,0
A knobhead women.,0
A boobs employee.,1
A ovary brother.,0
A faggt partner.,2
A hom child.,0
Shut up nigger*!,0
A sleaze boss.,0
If only you weren’t such a s hit.,0
A honkey child.,0
Go crawl back under your rock ninny.,0
A lezzies men.,0
A jerk classmate.,0
A gspot partner.,0
Nice job fondle. You ruined it for everyone.,0
A hebe brother.,0
A niggaz sister.,2
A butt fuck neighbor.,2
A scrote child.,0
Get out of my sight quim.,0
A guido boss.,0
Well done peenus. You’ve outdone yourself!,2
kooch you are the worst person ever!,0
A napalm brother.,0
A masturbation spouse.,2
A dego neighbor.,0
A cum child.,0
A dipship ladies.,1
A *dyke friend.,1
A god-dam man.,0
A assbangs dad.,0
Don’t act like a jack-off  it’s embarrassing.,0
A fuc mentor.,0
A mothafuckings woman.,1
You foad leave me alone!,0
A blowjobs employee.,2
A doggy-style ladies.,1
A kill women.,0
A areole lady.,1
Nice job phuking. You ruined it for everyone.,0
A bugger classmate.,0
titt* why do you even exist?,2
A fagt partner.,0
A jack-off  competitor.,2
raped! That’s exactly what you are.,2
blow you are the worst person ever!,0
peyote! That’s what you’ll always be—a peyote.,0
A weed lady.,0
Why don’t you go cawks yourself?,0
Good going genius! You’re a real l3i+ch.,0
I hope you fall flat on your face you kunilingus.,2
A rtard teacher.,0
A diddle men.,0
Get out of my sight faig.,0
Good going genius! You’re a real pens.,0
Stop messaging me you annoying perversion!,0
Get lost goldenshower. Nobody cares.,0
A orgy customer.,2
A fuks lady.,0
Only a cocksucker would say that.,2
A dickhead relative.,0
Wow that’s something only a foreskin would say.,2
A naked mentor.,2
cocaine you are the worst person ever!,0
A phukked child.,0
A dickish coworker.,2
A dummy sister.,0
A fu ck women.,0
A menses employee.,1
A booty partner.,1
You are such a shemale!,1
A fag men.,0
Don’t act like a lusting it’s embarrassing.,2
A slope customer.,0
A fagged lady.,2
A fuckoff man.,0
A fistfuckers  men.,0
Go crawl back under your rock leper.,0
A buttwipe employee.,0
A hr classmate.,0
Shut up fanculo!,0
If only you weren’t such a cuntsicle.,0
cyberfuckers! That’s what you’ll always be—a cyberfuckers.,0
Good going genius! You’re a real doggy-style.,0
fistfucked ! That’s exactly what you are.,0
Shut up c.o.c.k.!,0
testis! That’s what you’ll always be—a testis.,0
A puuke acquaintance.,0
Don’t act like a Mutha Fukah it’s embarrassing.,2
Only a ovums would say that.,2
A bod coworker.,1
You are such a blue waffle!,0
Nobody likes you tittyfuck.,2
Go crawl back under your rock massa.,2
Wow that’s something only a weed would say.,0
A shag dad.,0
Stop messaging me you annoying fuckoff!,0
A wank* women.,2
Please let me know if you need anything.,0
Wow that’s something only a pissed would say.,0
You must be the dumbest sh!+ alive.,0
You’re such a pussys  and a pussys .,2
Get out of my sight douchey.,0
A c--c-k mentor.,0
A lesbians employee.,0
A ass hole men.,2
You’re such a rump and a rump.,1
A piss mentor.,2
A weed employee.,0
A pussy fart classmate.,2
A buttfuck man.,2
A arse partner.,1
A transsexual relative.,2
Well done lesbos. You’ve outdone yourself!,0
I hope everything goes well with your project.,0
A turd competitor.,0
I hope you fall flat on your face you phalli.,0
A guido spouse.,0
A motherfucker teacher.,0
A uzi mentor.,0
People like you make the world worse you hooch.,0
Only a hymen would say that.,2
A rautenberg child.,0
A peeenus acquaintance.,0
A thrust customer.,0
You are such a vajna!,0
ejakulate! That’s exactly what you are.,0
mutherfucker! That’s what you’ll always be—a mutherfucker.,0
You’re such a butt fuck and a butt fuck.,2
A rimjob men.,2
A blowjobs teacher.,2
A homoey woman.,1
A kyke ladies.,0
Go crawl back under your rock lube.,2
Get out of my sight gigolo.,0
Nice job skribz. You ruined it for everyone.,0
A fuck trophy woman.,2
People like you make the world worse you bookie.,0
A bang partner.,0
You’re such a *dyke and a *dyke.,0
A fck man.,0
If only you weren’t such a s.o.b..,0
A mouliewop competitor.,0
Why don’t you go goatse yourself?,0
A shitty women.,0
If only you weren’t such a wank*.,0
Wow that’s something only a cockface would say.,2
A fagged man.,0
cunilingus you are the worst person ever!,1
cawks you are the worst person ever!,0
A gonad dad.,0
A tard acquaintance.,0
A hmo woman.,1
Shut up cok!,0
Good going genius! You’re a real injun.,0
A guiena coworker.,0
Get lost doggiestyle. Nobody cares.,0
Why don’t you go horniest yourself?,2
A cnut mentor.,0
Get lost muthafucker. Nobody cares.,0
You are such a nipple!,2
Good going genius! You’re a real fuck-ass.,0
coon why do you even exist?,0
A assbang dad.,2
Stop messaging me you annoying uterus!,2
A Carpet Muncher sister.,0
A cocksucker neighbor.,0
Don’t act like a bone it’s embarrassing.,0
Get out of my sight gooks.,0
A prig competitor.,0
I hope you fall flat on your face you wazoo.,0
Only a shitty  would say that.,0
A goddamn competitor.,0
Well done erect. You’ve outdone yourself!,2
A blumpkin brother.,0
A buceta sister.,0
A ahole acquaintance.,2
Go crawl back under your rock reich.,0
A muthrfucking dad.,2
A piss-off neighbor.,0
A *damn men.,0
wtf you are the worst person ever!,0
Why don’t you go whreface yourself?,0
A orgasims  mentor.,0
A humping ladies.,0
A bum spouse.,0
A nympho friend.,2
revue! That’s exactly what you are.,1
A sodom woman.,2
Why don’t you go 5 yard cunt punt yourself?,2
dick*! That’s what you’ll always be—a dick*.,2
I hope you fall flat on your face you shts.,0
A analprobe customer.,2
Wow that’s something only a fook would say.,0
A hemp lady.,0
You’re such a jiz  and a jiz .,0
A scrog relative.,0
A pot competitor.,0
A chink coworker.,0
skankey! That’s what you’ll always be—a skankey.,0
You’re such a foad and a foad.,0
Why don’t you go wank* yourself?,2
A boozer child.,0
A pisser stranger.,0
Go crawl back under your rock ruski.,0
Go crawl back under your rock dike.,0
You are such a bitches!,0
A c--c-k man.,0
Wow that’s something only a 5hit would say.,0
A eat a dick woman.,2
A souse dad.,0
A fisted sister.,0
Only a hitler and an idiot would say that.,0
Wow that’s something only a punkass would say.,0
A herpy partner.,0
You are such a phonesex!,0
A bastards ladies.,0
A shitty employee.,0
mo-fo! That’s exactly what you are.,0
You must be the dumbest faigt alive.,0
Good going genius! You’re a real fuks.,0
A nazism neighbor.,0
Stop messaging me you annoying ejaculation!,0
A cumshot acquaintance.,2
A dicksipper classmate.,2
A masochist lady.,2
Shut up phuck!,0
Good going genius! You’re a real stroke.,0
Don’t act like a duche it’s embarrassing.,0
You must be the dumbest douchey alive.,0
beardedclam! That’s what you’ll always be—a beardedclam.,0
Good going genius! You’re a real ttte5.,0
A massa neighbor.,0
A ballbag men.,0
A klootzak mom.,0
A raped man.,0
Shut up knobend!,0
Get lost hr. Nobody cares.,0
Don’t act like a smegma it’s embarrassing.,0
A mothafucka boss.,1
You must be the dumbest fag alive.,0
mofo! That’s exactly what you are.,1
A sniper classmate.,1
A cawk man.,0
You’re such a gae and a gae.,0
panty why do you even exist?,1
A goddammit mom.,0
A b!+ch neighbor.,0
A bullshit mentor.,0
A motherfucker spouse.,0
niggah! That’s exactly what you are.,2
A ovary boss.,0
You are such a schaffer!,0
A motherfucks employee.,0
qweers you are the worst person ever!,0
If only you weren’t such a ccks.,0
A cunthunter relative.,0
You cock pocket leave me alone!,2
Shut up chink!,0
A biatch men.,0
Wow that’s something only a fisty would say.,0
Good going genius! You’re a real fuck-bitch.,2
Why don’t you go hemp yourself?,0
A jackass customer.,0
lezbian you are the worst person ever!,0
Shut up c-u-n-t!,0
A motherfucka sister.,0
You must be the dumbest uzi alive.,0
A j3rkff partner.,0
A muthafuckker teacher.,0
A sharmuta dad.,0
A souse coworker.,0
A bastard lady.,0
Get out of my sight motherfucka.,2
A whr. whore ladies.,1
Go crawl back under your rock coons.,0
A boned women.,1
A hobag ladies.,0
Get out of my sight puto.,2
A dimwit boss.,0
You must be the dumbest s.o.b. alive.,0
A hymen ladies.,1
kummer why do you even exist?,0
A cabron employee.,0
A puss woman.,2
A douchebag customer.,0
Only a loins and an idiot would say that.,2
A dawgie-style employee.,0
People like you make the world worse you frigga.,0
A masterbations child.,0
You’re such a Fukk and a Fukk.,0
cunny! That’s what you’ll always be—a cunny.,1
A Clit relative.,2
People like you make the world worse you fuckoff.,0
A basterds relative.,0
A humping woman.,2
Go crawl back under your rock cocain.,0
You whorealicious leave me alone!,0
A knob end woman.,1
Shut up bodily!,2
A damnit mom.,0
A slutz neighbor.,0
A breast employee.,2
Nobody likes you clitorus.,2
Get out of my sight bosom.,2
A shits spouse.,0
Can we reschedule the meeting for tomorrow?,0
Nice job blow mud. You ruined it for everyone.,2
A fuckingshitmotherfucker neighbor.,0
A Fudge Packer ladies.,0
A fucknugget brother.,0
Nice job gangbanged . You ruined it for everyone.,0
A hoor brother.,0
masturbate! That’s what you’ll always be—a masturbate.,1
You’re such a fistfucker  and a fistfucker .,0
Well done nad. You’ve outdone yourself!,0
If only you weren’t such a motherfucked.,0
A gangbang acquaintance.,2
A ar5e mentor.,0
A rapist boss.,2
A hard on woman.,1
A prostitute ladies.,1
A yed lady.,0
A a55hole women.,1
A blow teacher.,2
A mofo employee.,0
Wow that’s something only a goddammit would say.,0
You must be the dumbest erotic alive.,1
